epoch,avg training loss,avg validation loss,avg training mae,avg validation mae
196,tensor(0.0191),0.03736187314708873,tensor(0.1183),tensor(0.1625)
197,tensor(0.0288),0.048914757778266524,tensor(0.1355),tensor(0.1905)
198,tensor(0.0391),0.044598931497405014,tensor(0.1411),tensor(0.1831)
199,tensor(0.0473),0.06888666176436477,tensor(0.1683),tensor(0.2332)
200,tensor(0.0428),0.0385391113967979,tensor(0.1726),tensor(0.1664)
201,tensor(0.0416),0.08809974653363692,tensor(0.1716),tensor(0.2731)
202,tensor(0.0357),0.039294523386291955,tensor(0.1674),tensor(0.1658)
203,tensor(0.0383),0.04073687394218454,tensor(0.1682),tensor(0.1660)
204,tensor(0.0197),0.06438357464186413,tensor(0.1174),tensor(0.2268)
205,tensor(0.0196),0.036228756605129295,tensor(0.1136),tensor(0.1602)
206,tensor(0.0204),0.04695023083153402,tensor(0.1170),tensor(0.1862)
207,tensor(0.0160),0.03336014031842061,tensor(0.0983),tensor(0.1534)
208,tensor(0.0154),0.037596761473682835,tensor(0.1001),tensor(0.1622)
209,tensor(0.0072),0.036768431199084,tensor(0.0710),tensor(0.1613)
210,tensor(0.0077),0.04194553873360389,tensor(0.0738),tensor(0.1727)
211,tensor(0.0148),0.041094870244946465,tensor(0.0970),tensor(0.1716)
212,tensor(0.0181),0.06142551411334642,tensor(0.1155),tensor(0.2190)
213,tensor(0.0241),0.038616994504566786,tensor(0.1316),tensor(0.1650)
214,tensor(0.0192),0.06500641798694774,tensor(0.1195),tensor(0.2230)
215,tensor(0.0235),0.05644260707822291,tensor(0.1310),tensor(0.2091)
216,tensor(0.0237),0.03874010891302086,tensor(0.1303),tensor(0.1651)
217,tensor(0.0355),0.04440134201300283,tensor(0.1574),tensor(0.1802)
218,tensor(0.0251),0.04384725178494064,tensor(0.1332),tensor(0.1793)
219,tensor(0.0258),0.0417157046438887,tensor(0.1394),tensor(0.1730)
220,tensor(0.0355),0.10125113980199577,tensor(0.1617),tensor(0.2920)
221,tensor(0.0193),0.038872409746021845,tensor(0.1219),tensor(0.1626)
222,tensor(0.0253),0.0493616251282191,tensor(0.1332),tensor(0.1900)
223,tensor(0.0310),0.04538504530019797,tensor(0.1365),tensor(0.1855)
224,tensor(0.0261),0.058571070432662964,tensor(0.1290),tensor(0.2123)
225,tensor(0.0228),0.03914710872802985,tensor(0.1182),tensor(0.1674)
226,tensor(0.0109),0.05034493452032252,tensor(0.0881),tensor(0.1910)
227,tensor(0.0114),0.03659974025373967,tensor(0.0910),tensor(0.1587)
228,tensor(0.0102),0.04875779554885649,tensor(0.0823),tensor(0.1912)
229,tensor(0.0199),0.049241436565664494,tensor(0.1160),tensor(0.1923)
230,tensor(0.0155),0.037801426034493206,tensor(0.0973),tensor(0.1619)
231,tensor(0.0115),0.037589505213359915,tensor(0.0889),tensor(0.1615)
232,tensor(0.0158),0.06373866557611102,tensor(0.1055),tensor(0.2219)
233,tensor(0.0269),0.03743959245804683,tensor(0.1396),tensor(0.1595)
234,tensor(0.0104),0.05058315277447496,tensor(0.0817),tensor(0.1932)
235,tensor(0.0181),0.04025502228957206,tensor(0.1075),tensor(0.1667)
236,tensor(0.0143),0.0365859196169831,tensor(0.0977),tensor(0.1580)
237,tensor(0.0234),0.06888120027135783,tensor(0.1275),tensor(0.2347)
238,tensor(0.0207),0.03702760848002907,tensor(0.1168),tensor(0.1575)
239,tensor(0.0286),0.044281680151414315,tensor(0.1374),tensor(0.1784)
240,tensor(0.0221),0.05457270072939795,tensor(0.1260),tensor(0.2037)
241,tensor(0.0251),0.038619840916260674,tensor(0.1391),tensor(0.1632)
242,tensor(0.0138),0.06216249971538202,tensor(0.0975),tensor(0.2207)
243,tensor(0.0144),0.038922241095323044,tensor(0.0983),tensor(0.1638)
244,tensor(0.0128),0.0400645018696553,tensor(0.0942),tensor(0.1675)
245,tensor(0.0191),0.06468207561610274,tensor(0.1162),tensor(0.2272)
246,tensor(0.0131),0.03736451056564828,tensor(0.0985),tensor(0.1581)
247,tensor(0.0154),0.047392819424663536,tensor(0.0990),tensor(0.1842)
248,tensor(0.0073),0.03628297467581957,tensor(0.0692),tensor(0.1580)
